created_at,outdoor_temp_c,outdoor_humidity_percent
2026-02-26T00:04:04+00:00,11.4,83
2026-02-26T00:09:58+00:00,11.4,83
2026-02-26T00:16:26+00:00,11.2,83
2026-02-26T00:21:55+00:00,11.2,83
2026-02-26T00:28:37+00:00,11.2,83
2026-02-26T00:34:20+00:00,11.1,83
2026-02-26T00:40:30+00:00,11.1,83
2026-02-26T00:46:43+00:00,11,83
2026-02-26T00:52:22+00:00,11,83
2026-02-26T00:58:26+00:00,11,83
2026-02-26T01:03:56+00:00,11,83
2026-02-26T01:09:55+00:00,11,83
2026-02-26T01:15:55+00:00,10.8,83
2026-02-26T01:21:57+00:00,10.8,83
2026-02-26T01:28:04+00:00,10.9,82
2026-02-26T01:34:04+00:00,10.7,82
2026-02-26T01:39:59+00:00,10.7,82
2026-02-26T01:46:34+00:00,10.5,83
2026-02-26T01:51:57+00:00,10.5,83
2026-02-26T01:58:23+00:00,10.5,83
2026-02-26T02:05:03+00:00,10.4,83
2026-02-26T02:15:54+00:00,10.3,83
2026-02-26T02:21:55+00:00,10.3,83
2026-02-26T02:27:53+00:00,10.3,83
2026-02-26T02:33:54+00:00,10.1,84
2026-02-26T02:39:53+00:00,10.1,84
2026-02-26T02:45:53+00:00,10,85
2026-02-26T02:52:06+00:00,10,85
2026-02-26T02:57:54+00:00,10,85
2026-02-26T03:03:54+00:00,9.9,85
2026-02-26T03:09:53+00:00,9.9,85
2026-02-26T03:15:53+00:00,9.800000000000001,85
2026-02-26T03:22:02+00:00,9.800000000000001,85
2026-02-26T03:27:53+00:00,9.800000000000001,85
2026-02-26T03:33:55+00:00,9.6,86
2026-02-26T03:39:53+00:00,9.6,86
2026-02-26T03:45:53+00:00,9.5,86
2026-02-26T03:51:56+00:00,9.5,86
2026-02-26T03:57:54+00:00,9.5,86
2026-02-26T04:03:54+00:00,9.4,86
2026-02-26T04:09:53+00:00,9.4,86
2026-02-26T04:15:56+00:00,9.300000000000001,86
2026-02-26T04:21:55+00:00,9.300000000000001,86
2026-02-26T04:27:54+00:00,9.5,86
2026-02-26T04:33:54+00:00,9.300000000000001,86
2026-02-26T04:39:53+00:00,9.300000000000001,86
2026-02-26T04:45:53+00:00,9.199999999999999,86
2026-02-26T04:52:02+00:00,9.199999999999999,86
2026-02-26T04:57:53+00:00,9.199999999999999,86
2026-02-26T05:03:55+00:00,9.1,86
2026-02-26T05:09:54+00:00,9.1,86
2026-02-26T05:15:54+00:00,9,86
2026-02-26T05:22:04+00:00,9,86
2026-02-26T05:27:53+00:00,9,86
2026-02-26T05:33:54+00:00,8.9,87
2026-02-26T05:39:54+00:00,8.9,87
2026-02-26T05:45:53+00:00,8.9,88
2026-02-26T05:51:57+00:00,8.9,88
2026-02-26T05:57:53+00:00,8.9,88
2026-02-26T06:03:54+00:00,8.9,88
2026-02-26T06:09:53+00:00,8.9,88
2026-02-26T06:15:54+00:00,8.9,88
2026-02-26T06:21:55+00:00,8.9,88
2026-02-26T06:27:53+00:00,8.9,88
2026-02-26T06:33:54+00:00,8.9,88
2026-02-26T06:39:53+00:00,8.9,88
2026-02-26T06:45:53+00:00,9,87
2026-02-26T06:52:03+00:00,9,87
2026-02-26T06:57:53+00:00,9,87
2026-02-26T07:03:54+00:00,9,87
2026-02-26T07:09:53+00:00,9,87
2026-02-26T07:15:54+00:00,9.1,87
2026-02-26T07:21:54+00:00,9.1,87
2026-02-26T07:27:54+00:00,9.4,86
2026-02-26T07:33:55+00:00,9.5,86
2026-02-26T07:39:53+00:00,9.5,86
2026-02-26T07:45:54+00:00,9.6,85
2026-02-26T07:51:58+00:00,9.6,85
2026-02-26T07:57:56+00:00,9.6,85
2026-02-26T08:03:54+00:00,9.699999999999999,85
2026-02-26T08:09:53+00:00,9.699999999999999,85
2026-02-26T08:15:54+00:00,9.800000000000001,84
2026-02-26T08:21:59+00:00,9.800000000000001,84
2026-02-26T08:27:53+00:00,9.800000000000001,84
2026-02-26T08:33:54+00:00,10,83
2026-02-26T08:39:53+00:00,10,83
2026-02-26T08:45:54+00:00,10.2,83
2026-02-26T08:52:05+00:00,10.2,83
2026-02-26T08:57:53+00:00,10.2,83
2026-02-26T09:03:54+00:00,10.3,82
2026-02-26T09:09:54+00:00,10.3,82
2026-02-26T09:15:53+00:00,10.4,81
2026-02-26T09:27:53+00:00,10.4,81
2026-02-26T09:33:53+00:00,10.6,80
2026-02-26T09:39:54+00:00,10.6,80
2026-02-26T09:45:54+00:00,10.8,80
2026-02-26T10:03:55+00:00,10.9,79
2026-02-26T10:09:53+00:00,10.9,79
2026-02-26T10:15:54+00:00,11,79
2026-02-26T10:22:01+00:00,11,79
2026-02-26T10:27:54+00:00,10.9,79
2026-02-26T10:33:54+00:00,11,78
2026-02-26T10:39:53+00:00,11,78
2026-02-26T10:45:54+00:00,11.1,78
2026-02-26T10:51:56+00:00,11.1,78
2026-02-26T10:57:53+00:00,11.1,78
2026-02-26T11:03:56+00:00,11.1,78
2026-02-26T11:09:53+00:00,11.1,78
2026-02-26T11:15:54+00:00,11.3,78
2026-02-26T11:21:58+00:00,11.3,78
2026-02-26T11:27:53+00:00,11.3,78
2026-02-26T11:33:53+00:00,11.4,77
2026-02-26T11:39:53+00:00,11.4,77
2026-02-26T11:45:54+00:00,11.6,76
2026-02-26T11:51:56+00:00,11.6,76
2026-02-26T11:57:54+00:00,11.6,76
2026-02-26T12:03:54+00:00,11.7,76
2026-02-26T12:09:54+00:00,11.7,76
2026-02-26T12:15:53+00:00,11.9,75
2026-02-26T12:21:54+00:00,11.9,75
2026-02-26T12:27:54+00:00,11.9,75
2026-02-26T12:33:54+00:00,12.1,75
2026-02-26T12:39:53+00:00,12.1,75
2026-02-26T12:45:54+00:00,12.2,74
2026-02-26T12:52:00+00:00,12.2,74
2026-02-26T12:57:54+00:00,12.2,74
2026-02-26T13:03:54+00:00,12.3,74
2026-02-26T13:09:53+00:00,12.3,74
2026-02-26T13:15:53+00:00,12.4,73
2026-02-26T13:21:56+00:00,12.4,73
2026-02-26T13:27:53+00:00,12.1,74
2026-02-26T13:33:54+00:00,12.1,74
2026-02-26T13:39:54+00:00,12.1,74
2026-02-26T13:45:54+00:00,12.1,73
2026-02-26T13:51:57+00:00,12.1,73
2026-02-26T13:57:53+00:00,12.1,73
2026-02-26T14:03:56+00:00,12.1,73
2026-02-26T14:09:54+00:00,12.1,73
2026-02-26T14:15:54+00:00,12,73
2026-02-26T14:21:56+00:00,12,73
2026-02-26T14:27:53+00:00,12,73
2026-02-26T14:33:54+00:00,11.9,73
2026-02-26T14:39:54+00:00,11.3,82
2026-02-26T14:45:56+00:00,11.3,82
2026-02-26T14:51:56+00:00,11.3,82
2026-02-26T14:57:54+00:00,11.3,82
2026-02-26T15:03:54+00:00,11.2,82
2026-02-26T15:09:53+00:00,11.2,82
2026-02-26T15:15:54+00:00,11.2,83
2026-02-26T15:21:55+00:00,11.2,83
2026-02-26T15:27:53+00:00,11.2,83
2026-02-26T15:33:54+00:00,11.1,84
2026-02-26T15:39:54+00:00,10.9,86
2026-02-26T15:45:53+00:00,10.8,87
2026-02-26T15:51:57+00:00,10.8,87
2026-02-26T15:57:53+00:00,10.8,87
2026-02-26T16:03:55+00:00,10.7,87
2026-02-26T16:09:53+00:00,10.7,87
2026-02-26T16:15:54+00:00,10.7,87
2026-02-26T16:21:57+00:00,10.7,87
2026-02-26T16:30:11+00:00,10.7,86
2026-02-26T16:35:07+00:00,10.7,86
2026-02-26T16:40:03+00:00,10.7,86
2026-02-26T16:46:27+00:00,10.8,85
2026-02-26T16:51:55+00:00,10.8,85
2026-02-26T16:57:59+00:00,10.8,85
2026-02-26T17:03:55+00:00,10.3,88
2026-02-26T17:09:55+00:00,10.3,88
2026-02-26T17:15:55+00:00,10.3,88
2026-02-26T17:21:55+00:00,10.3,88
2026-02-26T17:27:55+00:00,10.2,88
2026-02-26T17:34:05+00:00,10.3,88
2026-02-26T17:39:55+00:00,10.3,88
2026-02-26T17:45:54+00:00,10.3,88
2026-02-26T17:51:56+00:00,10.3,88
2026-02-26T17:57:55+00:00,10.3,88
2026-02-26T18:03:55+00:00,10.4,88
2026-02-26T18:09:55+00:00,10.4,88
2026-02-26T18:15:55+00:00,10.4,88
2026-02-26T18:21:56+00:00,10.4,88
